Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
AR102917793053147136,ERA NAEDA SRL,,"EU, RO",EU-Parliament,9,100,100,9250,200,800,3000,1000,37500,500,525,750,100,200
AR102918342808961024,HUESO FOR SUPERVISOR 2020; BEN,Registered in California 1415420,US,US-Federal,13,100,50,4500,100,400,1000,500,15000,200,225,750,50,0
AR103132816295854080,MISSISSIPPI REPUBLICAN PARTY,FEC ID C00084368,US,US-Federal,12,18100,16300,1277250,31900,120900,419000,122000,5377500,70100,77325,174000,14450,28000
AR103201123455729664,LANDRIC A. ‘LANNY’ BOSE,Registered in Texas 00084101,US,US-Federal,4,2700,2450,197250,4800,18300,62000,18500,825000,10600,11775,26250,2100,4400
AR103258779096711168,CAMPAIGN FOR AMERICAN PRINCIPLES,EIN ID 46-2413647,US,US-Federal,98,73100,66450,5185500,130000,493400,1712000,496500,22132500,287700,315750,717750,58750,115800
AR103361033678094336,SCOTT GELFAND,,US,US-Federal,8,600,500,42500,975,3800,13000,3500,172500,2200,2400,5250,450,800
AR103378007388848128,STUCK FOR CONGRESS,EIN ID 84-2263229,US,US-Federal,9,400,400,31750,800,3000,10000,3000,135000,1700,1950,4500,350,800
AR103765516518162432,JUST THE FACTS MICHIGAN,Registered in Michigan 519895,US,US-Federal,25,300,300,24750,550,2200,8000,2000,105000,1300,1425,3000,250,600
AR103839115077746688,ARNOLD FOR ALABAMA,FEC ID C00705269,US,US-Federal,24,12000,10800,851250,21100,80300,276000,80500,3570000,46200,51300,116250,9300,18800
AR103928587836456960,PACIFIC CAMPAIGN HOUSE,EIN ID 82-5390497,US,US-Federal,11,500,400,33500,825,3100,11000,3000,135000,1800,2025,4500,350,800
AR104017854436737024,Die Gruene Alternative - Wien,,"AT, EU, SK",EU-Parliament,9,9900,8450,726250,16550,64000,229000,63000,3037500,38100,41250,88500,7650,15000
AR104028093638770688,FRIENDS OF RAJA FOR CONGRESS,FEC ID C00575092,US,US-Federal,10,65300,57550,4798000,112600,429700,1488000,429500,18877500,248700,271275,603000,50800,101200
AR104074891602427904,Advictory LLC,EIN ID 47-3889825,US,US-Federal,108,68700,59250,4812500,115900,438800,1529000,441500,19177500,255400,275775,612000,52350,102000
AR104129661025386496,FW Niederösterreich,,"AT, EU",EU-Parliament,14,3300,2950,233000,5800,22100,75000,22000,997500,12700,14175,31500,2500,5000
AR104324618180886528,BARBARA MCGUIRE FOR STATE SENATOR - DISTRICT NO. 8,Registered in Arizona 100254,US,US-Federal,1,100,50,5500,125,500,2000,500,22500,300,300,750,50,200
AR104356641457045504,FRIENDS OF ROBYN VINING,EIN ID 82-5193419,US,US-Federal,60,9200,7800,673750,15300,59100,211000,58000,2820000,35200,38025,81750,7100,13800
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,US,US-Federal,28,6400,5500,454750,10800,41000,142000,41000,1785000,23700,25650,57000,4950,9600
AR104607192669224960,EASTON DEMOCRATIC TOWN COMMITTEE,EIN ID 06-1499125,US,US-Federal,2,0,50,3500,75,300,1000,500,15000,200,225,750,50,0
AR104766140818915328,Vänsterpartiet,,"EU, SE",EU-Parliament,9,15300,13650,1064000,26700,101400,352000,102000,4455000,58700,64950,146250,12000,23400
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,US,US-Federal,18462,43417600,37362250,3205914250,73076475,281075200,987115000,278281500,13115422500,165393500,180589725,389568000,33636650,66120400
AR105818510885650432,UAB BPN LT,,"BE, ES, EU, IT, LT, LV, PT, SE",EU-Parliament,48,1100,1000,82750,1975,7600,28000,7500,352500,4600,4875,10500,900,1800
AR105925713269358592,NOTABN PLUS SRL-D,,"EU, RO",EU-Parliament,1,0,50,3250,75,300,1000,500,15000,200,225,750,50,0
AR105987011042607104,AMERICAN UNITY PAC INC,FEC ID C00523589,US,US-Federal,3,7500,6750,531250,13150,50000,171000,50500,2220000,28700,32100,70500,5700,11400
AR106403725949534208,JEXAN LLC,EIN ID 46-2572638,US,US-Federal,12184,12300,11100,902750,21675,83200,289000,82500,3817500,48500,53325,117000,9650,19200
AR106535323747483648,JUDE SCHRODER,,US,US-Federal,14,600,500,45250,1025,3900,14000,4000,187500,2300,2550,5250,450,1000
AR106636478817239040,PROCHOICE VOTER,FEC ID C00202804,US,US-Federal,3,300,300,24500,550,2200,8000,2000,97500,1300,1350,3000,250,600
AR106701350003277824,FRIENDS OF JIM BERNARD,EIN ID 36-4771246,US,US-Federal,5,3000,2800,228000,5450,21000,76000,20500,982500,12700,13425,29250,2450,5000
AR106804085620998144,"EXACT DRIVE, INC.",EIN ID 27-1797458,US,US-Federal,5,0,0,250,0,0,0,0,0,0,0,0,0,0
AR106878165216919552,TROY KING FOR CONGRESS,EIN ID 84-2958173,US,US-Federal,6,100,50,3750,100,300,1000,500,15000,200,225,750,50,0
AR107360507224129536,"LINCOLN STRATEGY GROUP, LLC",EIN ID 26-1658436,US,US-Federal,1,2000,1700,149750,3350,12900,45000,13000,607500,7600,8325,18000,1550,3000
AR107541926642712576,JANET BARRESI FOR CONGRESS,FEC ID C00721357,US,US-Federal,1,600,550,46750,1075,4200,15000,4000,195000,2500,2700,6000,500,1000
AR107675860902871040,BENSALEM TOWNSHIP REPUBLICAN EXECUTIVE COMMITTEE,EIN ID 76-0702737,US,US-Federal,6,5500,5000,392250,9725,37100,127000,37000,1642500,21300,23625,53250,4300,8600
AR107815705038028800,MIKE GIALLOMBARDO CAMPAIGN,EIN ID 84-1971432,US,US-Federal,4,700,600,52500,1175,4500,16000,4500,210000,2700,2925,6000,550,1000
AR108117864577236992,SUNNY CHAPARALA FOR CONGRESS,FEC ID C00717470,US,US-Federal,28,4100,3750,294500,7325,28000,94000,28000,1267500,16100,17925,39750,3150,6400
AR108481940364984320,BIDEN FOR PRESIDENT,FEC ID C00703975,US,US-Federal,38942,49765600,42939750,3678810750,83987650,323610300,1140684000,319829500,15178132500,190942100,208073550,449384250,38712000,75852800
AR108578491229798400,"FWD.US, INC.",EIN ID 46-2223015,US,US-Federal,24,33100,29450,2474000,57550,221600,783000,219500,10177500,130700,141900,308250,26300,51800
AR108606803654213632,MURPHY FOR MINNESOTA,EIN ID 81-4353426,US,US-Federal,3,400,350,27750,675,2600,9000,2500,112500,1500,1650,3750,300,600
AR10877331094634496,COLORADO CITIZENS FOR ACCOUNTABLE GOVERNMENT,EIN ID 95-0500194,US,US-Federal,112,51300,44800,3762500,87600,332700,1157000,334000,14490000,193000,208875,464250,39500,78200
AR108828217808257024,TONY TINDERHOLT FOR TEXAS,EIN ID 81-1202921,US,US-Federal,12,1800,1550,134500,3050,11800,42000,11500,570000,7100,7650,16500,1450,2800
AR109084404017528832,DFL SENATE CAUCUS,Registered in Minnesota 20011,US,US-Federal,10,1200,1050,91500,2075,8000,29000,8000,382500,4800,5175,11250,950,1800
AR109184597014609920,JEN2020,FEC ID C00711994,US,US-Federal,83,7600,6500,567000,12700,48700,171000,48500,2257500,28700,31350,66750,5850,11600
AR109214489986990080,CORY BOOKER FOR SENATE,FEC ID C00540500,US,US-Federal,49,4100,3650,308250,7100,27400,97000,27000,1260000,16200,17475,38250,3250,6600
AR10924747533582336,HELLER FOR SENATE,FEC ID C00494229,US,US-Federal,309,165700,144450,12099250,282500,1072900,3727000,1077500,46702500,622000,673200,1498500,127350,251400
AR109454389680275456,NEHLS FOR CONGRESS,FEC ID C00730150,US,US-Federal,26,1300,1100,94250,2125,8200,29000,8000,390000,4800,5250,11250,1000,2000
AR109486619114864640,AKULA SATYANARAYANA,,IN,IN-General,2,400,350,27250,675,2600,9000,2500,112500,1500,1650,3750,300,600
AR109607840271826944,LIVE ACTION,EIN ID 42-1764425,US,US-Federal,4,3600,3300,259500,6475,24600,85000,24500,1102500,14300,15750,35250,2900,5800
AR109649346835775488,DANA OUTLAW FOR CONGRESS,FEC ID C00698787,US,US-Federal,15,1600,1450,112000,2800,10600,37000,10500,457500,6100,6825,15000,1250,2400
AR109675047920074752,CINDY AXNE FOR CONGRESS,EIN ID 82-1685207,US,US-Federal,76,2100,1900,159750,3700,14300,51000,14000,667500,8500,9150,20250,1700,3400
AR109939068149694464,CENTER FORWARD,FEC ID C90012998,US,US-Federal,31,36600,32250,2677750,63100,239900,838000,240500,10755000,140600,153300,339000,28900,56200
AR110003939335733248,"45COMMITTEE, INC.",EIN ID 47-3803487,US,US-Federal,1,0,0,1500,50,100,1000,0,7500,100,75,0,0,0
AR110133406829903872,HFC INC,EIN ID 84-2792814,US,US-Federal,39,177500,160500,12664500,313950,1190100,4135000,1198000,53122500,695900,761025,1722750,142600,279200
AR110277717731049472,LEAGUE OF CONSERVATION VOTERS ACTION FUND,FEC ID C00252940,US,US-Federal,10,96500,84800,7068500,165825,630300,2191000,632500,27412500,366300,395325,878250,74900,146400
AR110279573156921344,SENATE LEADERSHIP FUND,EIN ID 47-2994920,US,US-Federal,18,36500,31150,2678500,60950,235700,844000,232000,11220000,140400,151800,327000,28300,55200
AR110382858530455552,COMMITTEE TO ELECT TEDRA COBB,EIN ID 82-1958803,US,US-Federal,33,33900,30300,2443750,59225,226000,779000,226000,10267500,131000,145200,319500,26150,52200
AR110757448398143488,MATT MAYBERRY FOR CONGRESS,FEC ID C00735001,US,US-Federal,4,2800,2400,208250,4700,18000,63000,18000,840000,10600,11625,24750,2150,4200
AR110887259489697792,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,,"EU, SK",EU-Parliament,7,2300,2100,163750,4125,15700,53000,15500,712500,9000,10125,22500,1750,3600
AR11132211633848320,USA MOVEMENTS LLC,EIN ID 85-1444485,US,US-Federal,4,800,650,56000,1275,4900,18000,5000,232500,2900,3150,6750,600,1200
AR111332149382086656,DELGADO FOR CONGRESS,FEC ID C00633859,US,US-Federal,28,14400,12600,1046500,24650,93600,324000,94000,4080000,54200,58875,131250,11050,21800
AR111460586084106240,DIANE FOR COLORADO CD3,FEC ID C00707638,US,US-Federal,8,33400,28500,2453000,55725,215100,769000,212000,10297500,128600,138750,299250,25950,50600
AR111616510576820224,FRIENDS OF GINA RAIMONDO,EIN ID 80-0517478,US,US-Federal,21,7800,7050,559250,13800,52500,180000,53000,2362500,30400,33750,75000,6050,12200
AR111703784312274944,NEVADA STATE DEMOCRATIC PARTY,FEC ID C00208991,US,US-Federal,33,0,50,3500,75,300,1000,500,15000,200,225,750,50,0
AR111802190602960896,"W.R.P.R., s.r.o.",,"EU, SK",EU-Parliament,1,300,300,23250,575,2200,8000,2000,97500,1300,1425,3000,250,600
AR111828647601504256,TRUE BLUE MEDIA LLC,EIN ID 47-5544527,US,US-Federal,2,300,250,20000,500,1900,7000,2000,82500,1100,1200,3000,250,400
AR11183819960877056,FRIENDS OF F MICHAEL HIGGINBOTHAM,EIN ID 84-3615635,US,US-Federal,4,1100,1000,77500,1925,7300,25000,7500,330000,4200,4725,10500,850,1600
AR111864106851500032,FRIENDS OF KAREN S. SMYTHE,EIN ID 82-4179853,US,US-Federal,35,2500,2200,183000,4300,16300,57000,16500,705000,9400,10200,22500,1900,3800
AR111944714797711360,NEED TO IMPEACH,FEC ID C00658526,US,US-Federal,97,38100,34400,2706500,67275,255900,875000,257000,11490000,147500,163950,367500,29500,59000
AR112004294584041472,GERRIT MORA,,US,US-Federal,1,0,50,2500,50,200,1000,0,7500,100,150,0,50,0
AR11202168061165568,THE SEMINAR NETWORK CHAMBER OF COMMERCE INC,EIN ID 45-3732750,US,US-Federal,5,1900,1700,132000,3300,12500,43000,12500,547500,7200,7950,18000,1500,2800
AR112255739149418496,MATT ROSENDALE FOR MONTANA,FEC ID C00548289,US,US-Federal,37,21400,18450,1540000,36075,137700,481000,137500,6195000,80300,87225,192000,16450,32200
AR112555630945894400,DR MANNY FOR US SENATE,EIN ID 84-1927181,US,US-Federal,66,13900,12450,969000,24325,92000,319000,93000,4065000,53300,58875,132000,11100,21200
AR112638712793268224,VOTE RAWLINGS,FEC ID C00718551,US,US-Federal,41,500,450,40250,900,3500,12000,3500,165000,2100,2250,4500,400,800
AR112672728934252544,Alternative für Deutschland (AfD) - Kreisverband Köln,,"DE, EU",EU-Parliament,8,16800,14350,1223250,28050,107700,377000,106500,5047500,63200,69300,149250,12850,25200
AR1128098930098176,PATRICK MURPHY FOR CONGRESS,FEC ID C00411991,US,US-Federal,10,5500,4800,403000,9400,35700,124000,36000,1552500,20600,22350,49500,4200,8400
AR113027046556303360,Janika Takatalo,,"EU, FI",EU-Parliament,16,1100,1000,78000,1950,7400,26000,7500,322500,4300,4725,10500,850,1600
AR113035292893511680,"YES ON E, SAN FRANCISCANS FOR THE ARTS",EIN ID 81-2822893,US,US-Federal,4,3200,2800,234250,5500,20900,73000,21000,907500,12100,13050,29250,2500,4800
AR113155139660939264,GROHMAN FOR CONGRESS,FEC ID C00676528,US,US-Federal,3,1900,1650,137500,3200,12200,42000,12000,532500,7000,7650,17250,1450,2800
AR113425619521372160,COMMITTEE TO ELECT RICHARD OJEDA,FEC ID C00639989,US,US-Federal,19,2800,2450,193500,4750,18000,62000,18000,787500,10400,11400,25500,2150,4200
AR11359123346030592,PETERS FOR ILLINOIS,Registered in Illinois,US,US-Federal,10,7900,7150,587000,13950,53900,190000,53500,2437500,31400,34425,77250,6400,13000
AR1137238620504064,"MACMILLAN HOLDINGS, LLC",EIN ID 13-4047598,US,US-Federal,1,200,150,14000,325,1200,4000,1000,60000,700,825,1500,150,200
AR113835462480625664,ΠΟΝΤΑΣ ΑΠΟΣΤΟΛΟΣ,,"EU, GR",EU-Parliament,106,11900,10500,816000,20525,77700,267000,78500,3390000,44600,49575,111000,9400,17800
AR113926790665207808,SAN DIEGO COUNTY DEMOCRATIC PARTY,Registered in California 741906,US,US-Federal,3,200,150,13250,300,1200,4000,1000,52500,700,750,1500,150,200
AR114200431621570560,IP 44,Registered in Oregon,US,US-Federal,11,2600,2250,188500,4350,16700,58000,16500,765000,9700,10725,23250,2000,3800
AR114507538963103744,KUSTOFF FOR CONGRESS,FEC ID C00614826,US,US-Federal,4,4900,4250,337000,8300,31400,109000,31500,1372500,18200,19725,43500,3750,7200
AR114721806291566592,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,,"EU, PL",EU-Parliament,1,23300,20750,1719250,40575,156600,537000,155000,6997500,90100,99975,222750,18350,37400
AR114793686864232448,Progresívne Slovensko,,"AT, BG, CZ, DE, DK, EE, ES, EU, GB, HR, HU, IT, LT, LV, NL, PL, PT, RO, SE, SK",EU-Parliament,2631,255300,231850,18190250,453475,1724200,5893000,1732000,77430000,995400,1105875,2460000,198750,396600
AR114816158133125120,CITIZENS TO ELECT STEVEN REICK,EIN ID 46-3163984,US,US-Federal,2,800,650,56250,1275,4900,18000,5000,240000,3000,3225,6750,600,1200
AR11501097784967168,FRIENDS OF ROB ASTORINO,EIN ID 20-2782196,US,US-Federal,3,1200,1050,89750,2025,7800,28000,7500,375000,4700,5025,10500,950,1800
AR115333890670854144,A STRONGER MICHIGAN,EIN ID 82-4509198,US,US-Federal,30,17100,14900,1255000,29175,110800,385000,111500,4822500,64200,69600,154500,13150,26000
AR115381994304569344,MAJORITY FORWARD,EIN ID 83-3690373,US,US-Federal,14,67400,58600,5061250,114650,441200,1552000,436500,20475000,260200,283575,608250,53050,102600
AR115525343133040640,"MB ""Progresyvūs rinkodaros sprendimai""",,"EU, LT",EU-Parliament,1,0,0,250,0,0,0,0,0,0,0,0,0,0
AR115663469281280000,ELECT NATHAN BROWN FOR UTAH HOUSE,EIN ID 84-4873126,US,US-Federal,6,700,650,54250,1275,4900,17000,5000,225000,2900,3150,6750,600,1200
AR115883234167881728,COALITION FOR GREEN CAPITAL ACTION FUND,EIN ID 27-2124806,US,US-Federal,14,3300,2850,245250,5525,21400,76000,21000,1020000,12700,13800,29250,2600,5000
AR116025139887341568,Partidul Pro Romania,,"EU, RO",EU-Parliament,290,43900,38800,3114000,75900,289300,1010000,289500,12975000,168600,185700,414750,34400,66800
AR116067952121348096,BIT EXPERT SERV S.R.L.,,"EU, RO",EU-Parliament,13,1500,1250,108500,2450,9500,34000,9500,450000,5600,6075,12750,1150,2200
AR116128425260875776,SPD Ortsverein Hürth,,"DE, EU",EU-Parliament,3,1200,1000,85750,1925,7400,26000,7500,352500,4400,4800,10500,900,1800
AR116209789121331200,ANNA KAPLAN FOR NY STATE SENATE,Registered in New York A22370,US,US-Federal,1,2600,2200,193250,4350,16700,58000,16500,787500,9800,10725,22500,2000,4000
AR11633588936114176,CITIZENS TO RETAIN JUDGE RICHARD TITUS,EIN ID 82-4356777,US,US-Federal,1,400,300,26750,600,2300,8000,2500,112500,1400,1500,3000,300,600
AR116516759023910912,GEORGIA LIFE ALLIANCE COMMITTEE INC,EIN ID 47-2788469,US,US-Federal,28,7600,7000,547250,13725,52300,177000,52500,2370000,30200,33675,74250,5900,12000
AR116668422909067264,CALLIE4CU,EIN ID 84-2918206,US,US-Federal,4,0,50,2250,50,200,1000,0,7500,100,150,0,0,0
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,FEC ID C00652297,US,US-Federal,43,13100,11400,951250,22250,84400,293000,85000,3682500,49000,53025,117750,10050,19800
AR116769577978822656,SEIU LOCAL 2015,EIN ID 47-4164197,US,US-Federal,4,43400,38700,3012000,75725,286600,987000,289000,12660000,165100,183450,408750,34350,65400
AR116834449164861440,COMMITTEE TO ELECT KIM MANGONE FOR CONGRESS,FEC ID C00709550,US,US-Federal,3,500,450,37750,900,3500,13000,3500,165000,2100,2250,5250,400,800
AR117004667308736512,BOATMAN FOR CONGRESS,FEC ID C00711440,US,US-Federal,9,400,400,31750,800,3000,10000,3000,135000,1700,1950,4500,350,600
AR117013669560188928,SUE SGAMBELLURI FOR CITY COUNCIL,EIN ID 83-3048234,US,US-Federal,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR117088298911924224,PARTIDUL SOCIAL DEMOCRAT,,"EU, RO",EU-Parliament,229,3400,2900,250500,5675,21900,78000,21500,1050000,13000,14100,30000,2650,5200
AR117101493051457536,GRAVIS MARKETING INC,Registered in Florida P10000035711,US,US-Federal,22,3400,2950,248750,5775,22100,77000,22000,1012500,13000,14175,30750,2650,5200
AR117165264725868544,LINDSAY TAUSCH,,US,US-Federal,2,300,200,18500,425,1600,6000,1500,75000,1000,1050,2250,200,400
AR117183337948250112,"UNICORN WEALTH, LLC",EIN ID 84-2045992,US,US-Federal,378,182100,157450,13418750,307950,1184800,4142000,1173000,55432500,695700,761925,1641750,140650,276600
AR117224775792721920,JAVIER FOR ARIZONA,EIN ID 84-3907399,US,US-Federal,15,300,300,25500,575,2200,8000,2000,105000,1300,1425,3000,250,600
AR11739623088717824,POOLHOUSE AGENCY LLC,EIN ID 46-3943724,US,US-Federal,9,200,200,16750,400,1600,5000,1500,67500,900,975,2250,200,400
AR117512847839199232,ROSS SPANO FOR CONGRESS,FEC ID C00676668,US,US-Federal,18,27600,24000,2072500,46975,180800,636000,179000,8392500,106700,116175,249750,21700,42000
AR117614002908954624,COMMITTEE TO ELECT DONNA LASINSKI,EIN ID 47-5141880,US,US-Federal,1,1400,1250,105000,2450,9300,32000,9500,405000,5400,5850,12750,1100,2200
AR117634068996161536,VOLUNTEERS FOR KELLY MOLLER,EIN ID 82-4668696,US,US-Federal,8,1500,1300,110500,2500,9600,34000,9500,457500,5700,6225,13500,1150,2200
AR117739278515044352,BARCELONA PEL CANVI - CIUTADANS,,"ES, EU, FR",EU-Parliament,19,3100,2700,212500,5325,20200,70000,20500,877500,11700,12975,29250,2350,4600
AR117756801981612032,Lucas Pavanetto,,"EU, IT",EU-Parliament,4,200,150,11750,275,1000,4000,1000,52500,600,675,1500,150,200
AR117808960064454656,TROY BRIMAGE FOR STATE REP,EIN ID 84-3707240,US,US-Federal,20,3600,3300,258250,6425,24500,83000,24500,1110000,14100,15750,34500,2800,5600
AR117976635587690496,"Freiheitliche Partei Österreichs (FPÖ), Landespartei Steiermark",,"AT, EU",EU-Parliament,67,9300,8450,667500,16525,62800,216000,63000,2812500,36100,40275,90000,7250,14600
AR118173585608015872,Aalborg Venstrevælger forening,,"DK, EU",EU-Parliament,40,2300,2100,163000,4100,15500,54000,15500,675000,9000,9900,22500,1850,3600
AR118215985525161984,"TEXAS LAW SHIELD, LLC",EIN ID 45-4810752,US,US-Federal,31,4100,3550,289500,6975,26400,92000,26500,1147500,15300,16725,36750,3150,6000
AR118482960692281344,MOWERS FOR CONGRESS,FEC ID C00734491,US,US-Federal,34,4900,4300,358500,8450,32400,111000,32000,1492500,18800,20775,45000,3750,7400
AR118541234808553472,GEORGE W. HINDMAN FOR CONGRESS,FEC ID C00724617,US,US-Federal,35,4300,3850,305250,7575,28900,98000,29000,1305000,16600,18525,41250,3300,6600
AR118595523195174912,ROHRABACHER FOR CONGRESS,FEC ID C00224691,US,US-Federal,2,72500,63550,5304000,124250,472200,1641000,474000,20512500,273900,296175,657750,55900,109800
AR118619506292555776,TAKEACTION MINNESOTA,EIN ID 20-3338691,US,US-Federal,18,400,350,31500,700,2700,9000,2500,120000,1600,1725,3750,300,600
AR118759694025097216,CARLUCCI FOR CONGRESS,FEC ID C00723791,US,US-Federal,5,1900,1650,141000,3225,12500,44000,12500,570000,7300,8025,17250,1500,2800
AR119011138590474240,WICKER FOR SENATE,FEC ID C00443218,US,US-Federal,292,21800,18800,1543250,36775,139500,485000,140000,6060000,80900,87600,194250,16550,32400
AR119350612805550080,MATT COX FOR NC SENATE,EIN ID 83-3855386,US,US-Federal,2,100,100,9500,250,900,3000,1000,37500,500,600,1500,100,200
AR119459052139839488,MONEY GAME VENTURES LLC,EIN ID 82-4012570,US,US-Federal,9,500,400,33750,800,3100,11000,3000,135000,1800,1950,4500,350,800
AR119554297334595584,CAM CAVASSO 4 CONGRESS,FEC ID C00680876,US,US-Federal,13,3000,2650,221000,5125,19500,68000,19500,847500,11300,12225,27000,2350,4600
AR119915349465366528,STEVE ALM FOR PROSECUTOR,EIN ID 84-3490954,US,US-Federal,1,0,0,1250,25,100,0,0,7500,100,75,0,0,0
AR120137038497316864,BOB CASEY FOR SENATE INC,FEC ID C00431056,US,US-Federal,107,431200,374600,31413250,732625,2781800,9656000,2794000,121237500,1612000,1745400,3891000,331350,655600
AR120181018962427904,CHRISSY HOULAHAN FOR CONGRESS,FEC ID C00637371,US,US-Federal,88,2000,1700,140250,3350,12700,44000,13000,555000,7400,7950,18000,1550,3000
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,FEC ID C00575209,US,US-Federal,57,104300,90100,7650750,176225,675500,2371000,671500,30982500,396600,430875,940500,80750,158600
AR120759774395498496,SCOTT FITZGERALD FOR CONGRESS,EIN ID 84-2948409,US,US-Federal,4,800,700,60250,1375,5300,19000,5500,255000,3200,3450,7500,650,1200
